00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 3~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Брянск "Батарейка" Красный Маяк
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 850~Брянск "Батарейка" Нахимова
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 5~8 850~
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Смоленск Батарейка Ново-Московская 23
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Тамбов "Батарейка" Мичуринская
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Тула "Батарейка"
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Калуга "Батарейка"
00000000528~АКБ 6СТ-60 "Topla"~Topla~60-69 (прямой)~60~600~242/175/190~Конус  стандарт~14,4~12~прямая~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 3~8 850~Тамбов "Батарейка" Гастелло (Авторынок)
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 4~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 4~8 850~Курск "Батарейка" 50летОктября
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 4~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 6~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Алексеевка "Батарейка"
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 9~8 850~Белгород "Батарейка"
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 4~8 850~Воронеж "Батарейка" Дорожная
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 4~8 850~Воронеж "Батарейка" Антонова-Овсеенко
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 4~8 850~Воронеж "Батарейка" Каменка
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Железногорск "Батарейка"
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 3~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Мичуринск "Аккумуляторный Мир"
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 7~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 3~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Брянск "Батарейка" Костычева
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 7~8 850~Курск "Батарейка" Дериглазова
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 850~Брянск "Батарейка" Красный Маяк
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Брянск "Батарейка" Нахимова
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 10~8 850~
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Тамбов "Батарейка" Мичуринская
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Калуга "Батарейка"
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 850~Тула "Батарейка"
00000000531~АКБ 6СТ-60 "Topla" (обр.)~Topla~60-69 (обратный)~60~600~242/175/190~Конус  стандарт~14,4~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 850~Тамбов "Батарейка" Гастелло (Авторынок)
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 19~8 900~Курск "Батарейка" Стрела
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 19~8 900~Курск "Батарейка" Моковская
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 4~8 900~
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 8~8 900~Курск "Батарейка" 50летОктября
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 900~
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 900~
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 7~8 900~Белгород "Батарейка"
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 900~Богородицк "Батарейка"
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 900~Воронеж "Батарейка" Антонова-Овсеенко
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 900~Воронеж "Батарейка" Дорожная
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 900~Воронеж "Батарейка" Каменка
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 900~
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 900~
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 900~Железногорск "Батарейка"
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 900~
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 900~Курск "Батарейка" Новосёловка
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~8 900~Курск "Аккумуляторный Мир" Сумская
00000003015~АКБ 6СТ-62 "Topla TOP" (низкий) (обр.)~Topla~60-69 (обратный)~62~600~242/175/175~Конус  стандарт~13,9~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~8 900~
